company_A,company_B,score,Adresse_A,Zip_A,City_A,Country_A,Adresse_B,Zip_B,City_B,Country_B
"Intercom, Inc.","Intercom, Inc.",1.0,"{'Intercom, Inc.': '55 2nd Street'}","{'Intercom, Inc.': '94105'}","{'Intercom, Inc.': 'San Francisco'}","{'Intercom, Inc.': 'United States'}","{'Intercom, Inc.': '55 2nd Street'}","{'Intercom, Inc.': '94105'}","{'Intercom, Inc.': 'San Francisco'}","{'Intercom, Inc.': 'United States'}"
Kingfisher plc,Kingfisher plc,1.0000000000000002,3 Sheldon Square,W2 6HY,London,United Kingdom,{'Kingfisher plc': '3 Sheldon Square'},{'Kingfisher plc': 'W2 6HY'},{'Kingfisher plc': 'London'},{'Kingfisher plc': 'United Kingdom'}
Kingfisher plc,Kingfisher plc,1.0000000000000002,3 Sheldon Square,W2 6HY,London,United Kingdom,{'Kingfisher plc': '3 Sheldon Square'},{'Kingfisher plc': 'W2 6HY'},{'Kingfisher plc': 'London'},{'Kingfisher plc': 'United Kingdom'}
EPOKA,EPOKA,1.0,,,,,,,,
WILLOUGHBY ASSOCIATES LIMITED,WILLOUGHBY ASSOCIATES LIMITED,1.0000000000000004,266 LINDEN ST,10001,Winnetka,United States,266 LINDEN ST,10001,Winnetka,United States
Agorize,Agorize,1.0000000000000002,34 Rue du Faubourg Saint-Antoine,75012,Paris,France,34 Rue du Faubourg Saint-Antoine,75012,Paris,France
Consort NT,Consort NT,1.0000000000000002,{'Consort NT': '58 Boulevard Gouvion-Saint-Cyr'},{'Consort NT': '75017'},{'Consort NT': 'Paris-17E-Arrondissement'},{'Consort NT': ''},58 Boulevard Gouvion-Saint-Cyr,75017,Paris-17E-Arrondissement,
Ernst & Young LLP,Ernst & Young LLP,1.0,{'Ernst & Young LLP': '6 More London Riverside'},{'Ernst & Young LLP': '10036'},{'Ernst & Young LLP': 'London'},{'Ernst & Young LLP': 'United States'},{'Ernst & Young LLP': '6 More London Riverside'},{'Ernst & Young LLP': '10036'},{'Ernst & Young LLP': 'London'},{'Ernst & Young LLP': 'United States'}
Ernst & Young LLP,Ernst & Young LLP,1.0,{'Ernst & Young LLP': '6 More London Riverside'},{'Ernst & Young LLP': '10036'},{'Ernst & Young LLP': 'London'},{'Ernst & Young LLP': 'United States'},{'Ernst & Young LLP': '6 More London Riverside'},{'Ernst & Young LLP': '10036'},{'Ernst & Young LLP': 'London'},{'Ernst & Young LLP': 'United States'}
Zelros,Zelros,1.0,{'Zelros': ''},{'Zelros': '75013'},{'Zelros': 'Paris'},{'Zelros': 'France'},{'Zelros': ''},{'Zelros': ''},{'Zelros': ''},{'Zelros': ''}
Stripe,Stripe,1.0000000000000002,510 Townsend St,94107,San Francisco,United States,510 Townsend St,94107,San Francisco,United States
Ignition Program,Ignition Program,1.0000000000000002,37 Rue de Ponthieu,75008,Paris,France,{'Ignition Program': '37 Rue de Ponthieu'},{'Ignition Program': '75008'},{'Ignition Program': 'Paris'},{'Ignition Program': 'France'}
Ignition Program,Ignition Program,1.0000000000000002,37 Rue de Ponthieu,75008,Paris,France,{'Ignition Program': '37 Rue de Ponthieu'},{'Ignition Program': '75008'},{'Ignition Program': 'Paris'},{'Ignition Program': 'France'}
Kairos,Kairos,1.0,157 Rue Anatole France,92300,Levallois-Perret,France,157 Rue Anatole France,92300,Levallois-Perret,France
Fastbooking,Fastbooking,1.0,82 Rue Henry Farman,92130,Paris,France,82 Rue Henry Farman,92130,Paris,France
BNP Paribas,BNP Paribas,1.0000000000000002,{'BNP Paribas': '16 Boulevard des Italiens'},{'BNP Paribas': '75009'},{'BNP Paribas': 'Paris'},{'BNP Paribas': 'France'},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''}
BNP Paribas,BNP Paribas,1.0000000000000002,{'BNP Paribas': '16 Boulevard des Italiens'},{'BNP Paribas': '75009'},{'BNP Paribas': 'Paris'},{'BNP Paribas': 'France'},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''}
BNP Paribas,BNP Paribas,1.0000000000000002,{'BNP Paribas': '16 Boulevard des Italiens'},{'BNP Paribas': '75009'},{'BNP Paribas': 'Paris'},{'BNP Paribas': 'France'},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''}
BNP Paribas,BNP Paribas,1.0000000000000002,{'BNP Paribas': '16 Boulevard des Italiens'},{'BNP Paribas': '75009'},{'BNP Paribas': 'Paris'},{'BNP Paribas': 'France'},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''},{'BNP Paribas': ''}
4people,4people,1.0000000000000002,"{'4people': '24, RUE PÉTRELLE'}",{'4people': '75009'},{'4people': 'Paris'},{'4people': 'France'},"24, RUE PÉTRELLE",75009,Paris,France
Misterfox,Misterfox,1.0,,,Paris,France,,,Paris,France
Iliad,Iliad,1.0,16 Rue de la Ville-l'Évêque,75008,Paris,France,16 Rue de la Ville-l'Évêque,75008,Paris,France
Back Market,Back Market,1.0000000000000002,{'Back Market': ''},{'Back Market': ''},{'Back Market': 'Paris'},{'Back Market': 'France'},{'Back Market': ''},{'Back Market': ''},{'Back Market': 'Paris'},{'Back Market': 'France'}
Back Market,Back Market,1.0000000000000002,{'Back Market': ''},{'Back Market': ''},{'Back Market': 'Paris'},{'Back Market': 'France'},{'Back Market': ''},{'Back Market': ''},{'Back Market': 'Paris'},{'Back Market': 'France'}
Zenchef,Zenchef,1.0000000000000002,{'Zenchef': '23 Rue de Cléry'},{'Zenchef': '75002'},{'Zenchef': 'Paris'},{'Zenchef': ''},23 Rue de Cléry,75002,Paris,
deliver.ee,deliver.ee,1.0000000000000002,24 Boulevard Saint-Denis,98108,Paris,France,24 Boulevard Saint-Denis,98108,Paris,France
SKEMA Business School,SKEMA Business School,1.0000000000000002,{'SKEMA Business School': 'Avenue Willy Brandt'},{'SKEMA Business School': '06902'},{'SKEMA Business School': 'Lille'},{'SKEMA Business School': 'France'},Avenue Willy Brandt,06902,Lille,France
Vulog,Vulog,1.0000000000000002,{'Vulog': '156 2nd Street'},{'Vulog': '94105'},{'Vulog': 'San Francisco'},{'Vulog': 'United States'},{'Vulog': '156 2nd Street'},{'Vulog': '94105'},{'Vulog': 'San Francisco'},{'Vulog': 'United States'}
Vulog,Vulog,1.0000000000000002,{'Vulog': '156 2nd Street'},{'Vulog': '94105'},{'Vulog': 'San Francisco'},{'Vulog': 'United States'},{'Vulog': '156 2nd Street'},{'Vulog': '94105'},{'Vulog': 'San Francisco'},{'Vulog': 'United States'}
Partoo,Partoo,1.0,{'Partoo': '27 RUE DU CHEMIN VERT'},{'Partoo': '75019'},{'Partoo': 'Paris'},{'Partoo': 'France'},{'Partoo': '27 RUE DU CHEMIN VERT'},{'Partoo': '75019'},{'Partoo': 'Paris'},{'Partoo': 'France'}
Partoo,Partoo,1.0,{'Partoo': '27 RUE DU CHEMIN VERT'},{'Partoo': '75019'},{'Partoo': 'Paris'},{'Partoo': 'France'},{'Partoo': '27 RUE DU CHEMIN VERT'},{'Partoo': '75019'},{'Partoo': 'Paris'},{'Partoo': 'France'}
Partoo,Partoo,1.0,{'Partoo': '27 RUE DU CHEMIN VERT'},{'Partoo': '75019'},{'Partoo': 'Paris'},{'Partoo': 'France'},{'Partoo': '27 RUE DU CHEMIN VERT'},{'Partoo': '75019'},{'Partoo': 'Paris'},{'Partoo': 'France'}
Meetup,Meetup,1.0000000000000002,632 Broadway,10012,New York,United States,632 Broadway,10012,New York,United States
Saint-Gobain,Saint-Gobain,1.0000000000000002,"{'Saint-Gobain': ""Les Miroirs - 18, avenue d'Alsace""}",{'Saint-Gobain': '14001'},{'Saint-Gobain': 'Courbevoie'},{'Saint-Gobain': 'France'},"{'Saint-Gobain': ""Les Miroirs - 18, avenue d'Alsace""}",{'Saint-Gobain': '14001'},{'Saint-Gobain': 'Courbevoie'},{'Saint-Gobain': 'France'}
Saint-Gobain,SAINT GOBAIN,1.0000000000000002,"{'Saint-Gobain': ""Les Miroirs - 18, avenue d'Alsace""}",{'Saint-Gobain': '14001'},{'Saint-Gobain': 'Courbevoie'},{'Saint-Gobain': 'France'},{'SAINT GOBAIN': ''},{'SAINT GOBAIN': ''},{'SAINT GOBAIN': ''},{'SAINT GOBAIN': ''}
Saint-Gobain,Saint-Gobain,1.0000000000000002,"{'Saint-Gobain': ""Les Miroirs - 18, avenue d'Alsace""}",{'Saint-Gobain': '14001'},{'Saint-Gobain': 'Courbevoie'},{'Saint-Gobain': 'France'},"{'Saint-Gobain': ""Les Miroirs - 18, avenue d'Alsace""}",{'Saint-Gobain': '14001'},{'Saint-Gobain': 'Courbevoie'},{'Saint-Gobain': 'France'}
PYCOGROUP,PYCOGROUP,1.0,{'PYCOGROUP': '523 Avenue Louise'},{'PYCOGROUP': '1050'},{'PYCOGROUP': 'Bruxelles'},{'PYCOGROUP': 'Belgium'},523 Avenue Louise,1050,Bruxelles,Belgium
NUMA,NUMA,1.0,39 Rue du Caire,75002,Paris,France,39 Rue du Caire,75002,Paris,France
Computer Futures,Computer Futures,1.0000000000000002,1ST FLOOR,EC4N 7BE,London,United Kingdom,1ST FLOOR,EC4N 7BE,London,United Kingdom
Talentpeople,Talentpeople,1.0,12 Rue de l'Isly,75008,Paris,France,12 Rue de l'Isly,75008,Paris,France
Feel Europe,Feel Europe,1.0000000000000002,45 Boulevard Paul Vaillant Couturier,71028,Vincennes,France,45 Boulevard Paul Vaillant Couturier,71028,Vincennes,France
Maarch,Maarch,1.0,11 Boulevard du Sud-Est,92000,Nanterre,France,11 Boulevard du Sud-Est,92000,Nanterre,France
CallDesk,CallDesk,1.0,49 RUE DE PONTHIEU,75008,Paris,France,49 RUE DE PONTHIEU,75008,Paris,France
9online.fr,9online.fr,1.0,,,,France,,,,France
Uptilab,Uptilab,1.0,8 Rue Bayen,75017,Paris,France,8 Rue Bayen,75017,Paris,France
Agriconomie.com,Agriconomie.com,1.0000000000000002,{'Agriconomie.com': '11 Route Route Nationale 4'},{'Agriconomie.com': '51320'},{'Agriconomie.com': 'Coole'},{'Agriconomie.com': 'France'},{'Agriconomie.com': '11 Route Route Nationale 4'},{'Agriconomie.com': '51320'},{'Agriconomie.com': 'Coole'},{'Agriconomie.com': 'France'}
Agriconomie.com,Agriconomie.com,1.0000000000000002,{'Agriconomie.com': '11 Route Route Nationale 4'},{'Agriconomie.com': '51320'},{'Agriconomie.com': 'Coole'},{'Agriconomie.com': 'France'},{'Agriconomie.com': '11 Route Route Nationale 4'},{'Agriconomie.com': '51320'},{'Agriconomie.com': 'Coole'},{'Agriconomie.com': 'France'}
Toucan Toco,Toucan Toco,1.0000000000000002,{'Toucan Toco': '140 Boulevard de Magenta'},{'Toucan Toco': '75010'},{'Toucan Toco': 'Paris'},{'Toucan Toco': 'France'},{'Toucan Toco': '140 BD DE MAGENTA'},{'Toucan Toco': '75010'},{'Toucan Toco': 'Paris'},{'Toucan Toco': 'France'}
Toucan Toco,Toucan Toco,1.0000000000000002,{'Toucan Toco': '140 Boulevard de Magenta'},{'Toucan Toco': '75010'},{'Toucan Toco': 'Paris'},{'Toucan Toco': 'France'},{'Toucan Toco': '140 BD DE MAGENTA'},{'Toucan Toco': '75010'},{'Toucan Toco': 'Paris'},{'Toucan Toco': 'France'}
Schibsted Media Group,Schibsted Media Group,1.0000000000000002,{'Schibsted Media Group': '10 Apotekergata'},{'Schibsted Media Group': '0180'},{'Schibsted Media Group': 'Oslo'},{'Schibsted Media Group': 'Norway'},10 Apotekergata,0180,Oslo,Norway
L'Oréal,L'Oréal,1.0,"{""L'Oréal"": '41 Rue Martre'}","{""L'Oréal"": '10001'}","{""L'Oréal"": 'Clichy'}","{""L'Oréal"": ''}","{""L'Oréal"": '41 Rue Martre'}","{""L'Oréal"": '10001'}","{""L'Oréal"": 'Clichy'}","{""L'Oréal"": ''}"
L'Oréal,L'Oréal,1.0,"{""L'Oréal"": '41 Rue Martre'}","{""L'Oréal"": '10001'}","{""L'Oréal"": 'Clichy'}","{""L'Oréal"": ''}","{""L'Oréal"": '41 Rue Martre'}","{""L'Oréal"": '10001'}","{""L'Oréal"": 'Clichy'}","{""L'Oréal"": ''}"
proximus,proximus,1.0,27 Koning Albert II laan,1030,Schaarbeek,Belgium,27 Koning Albert II laan,1030,Schaarbeek,Belgium
InVivo,InVivo,1.0,83 Avenue de la Grande-Armée,75782,Paris,FRANCE,83 Avenue de la Grande-Armée,75782,Paris,France
Doctolib,Doctolib,1.0,{'Doctolib': '131 Boulevard de Sébastopol'},{'Doctolib': '75002'},{'Doctolib': 'Paris'},{'Doctolib': 'France'},{'Doctolib': ''},{'Doctolib': ''},{'Doctolib': ''},{'Doctolib': ''}
Doctolib,Doctolib,1.0,{'Doctolib': '131 Boulevard de Sébastopol'},{'Doctolib': '75002'},{'Doctolib': 'Paris'},{'Doctolib': 'France'},{'Doctolib': ''},{'Doctolib': ''},{'Doctolib': ''},{'Doctolib': ''}
AG2R La Mondiale,AG2R LA MONDIALE,1.0,35 Boulevard Brune,75379,Paris,FRANCE,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R La Mondiale,AG2R LA MONDIALE,1.0,35 Boulevard Brune,75379,Paris,FRANCE,{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''},{'AG2R LA MONDIALE': ''}
AG2R La Mondiale,AG2R - La mondiale,1.0,35 Boulevard Brune,75379,Paris,FRANCE,35 Boulevard Brune,75379,Paris,France
AG2R La Mondiale,AG2R La Mondiale,1.0,35 Boulevard Brune,75379,Paris,FRANCE,"{'AG2R La Mondiale': 'Paris, France'}",{'AG2R La Mondiale': ''},{'AG2R La Mondiale': ''},{'AG2R La Mondiale': ''}
Renault Groupe,Renault Groupe,1.0,15 Quai Alphonse le Gallo,92109,Boulogne-Billancourt,,15 Quai Alphonse le Gallo,92109,Boulogne-Billancourt,
Parrot SA,Parrot SA,1.0,{'Parrot SA': '174 Quai de Jemmapes'},{'Parrot SA': '75010'},{'Parrot SA': 'Paris'},{'Parrot SA': 'France'},174 Quai de Jemmapes,75010,Paris,France
Vanden Borre,Vanden Borre,1.0000000000000002,101 Slesbroekstraat,1600,Sint-Pieters-Leeuw,Belgium,101 Slesbroekstraat,1600,Sint-Pieters-Leeuw,Belgium
Acuitis,Acuitis,1.0000000000000002,55 Avenue Victor Hugo,75016,Paris,France,55 Avenue Victor Hugo,75016,Paris,France
BNP Paribas (Groupe),BNP Paribas Groupe,1.0000000000000002,16 Boulevard des Italiens,75009,Paris,FRANCE,16 Boulevard des Italiens,75009,Paris,france
BNP Paribas (Groupe),BNP Paribas (Groupe),1.0000000000000002,16 Boulevard des Italiens,75009,Paris,FRANCE,16 Boulevard des Italiens,75009,Paris,FRANCE
Besson Chaussures,Besson Chaussures,1.0000000000000002,31 Route de Paris,31120,Pontault-Combault,France,31 Route de Paris,31120,Pontault-Combault,France
Cultura,Cultura,1.0000000000000002,{'Cultura': '24 Place Nicolas Copernic'},{'Cultura': '37100'},{'Cultura': 'Tours'},{'Cultura': 'France'},{'Cultura': ''},{'Cultura': ''},{'Cultura': ''},{'Cultura': ''}
Target2Sell,Target2Sell,1.0000000000000002,43 Rue de Turbigo,75003,Paris,France,43 Rue de Turbigo,75003,Paris,France
FNAC DARTY,FNAC-DARTY,1.0000000000000002,9 Rue des Bateaux-Lavoirs,94200,Ivry-sur-Seine,France,{'FNAC-DARTY': ''},{'FNAC-DARTY': ''},{'FNAC-DARTY': ''},{'FNAC-DARTY': ''}
Pierre Fabre,Pierre Fabre,1.0000000000000002,"{'Pierre Fabre': '29 Avenue du Sidobre, Castres, France'}",{'Pierre Fabre': '81100'},{'Pierre Fabre': 'Castres'},{'Pierre Fabre': 'France'},{'Pierre Fabre': '12 AVENUE HOCHE'},{'Pierre Fabre': '07054'},{'Pierre Fabre': 'Paris'},{'Pierre Fabre': ''}
Pierre Fabre,Pierre Fabre,1.0000000000000002,"{'Pierre Fabre': '29 Avenue du Sidobre, Castres, France'}",{'Pierre Fabre': '81100'},{'Pierre Fabre': 'Castres'},{'Pierre Fabre': 'France'},{'Pierre Fabre': '12 AVENUE HOCHE'},{'Pierre Fabre': '07054'},{'Pierre Fabre': 'Paris'},{'Pierre Fabre': ''}
Groupe BPCE,Groupe BPCE,1.0000000000000002,50 Avenue Pierre Mendès-France,75013,Paris,FRANCE,50 Avenue Pierre Mendès-France,75013,Paris,FRANCE
Wavestone,Wavestone,1.0,100-101 Terrasse Boieldieu,92042,Paris La Défense,France,{'Wavestone': '100-101 Terrasse Boieldieu'},{'Wavestone': '92042'},{'Wavestone': 'Paris La Défense'},{'Wavestone': 'France'}
Wavestone,Wavestone,1.0,100-101 Terrasse Boieldieu,92042,Paris La Défense,France,{'Wavestone': '100-101 Terrasse Boieldieu'},{'Wavestone': '92042'},{'Wavestone': 'Paris La Défense'},{'Wavestone': 'France'}
Globeo Travel,GLOBEO TRAVEL,1.0,18 Rue Jean Giraudoux,75016,Paris,France,18 rue Jean Giraudoux,75016,Paris,France
AccorHotels,AccorHotels,1.0000000000000002,{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'},{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'}
AccorHotels,AccorHotels,1.0000000000000002,{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'},{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'}
AccorHotels,AccorHotels,1.0000000000000002,{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'},{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'}
AccorHotels,AccorHotels,1.0000000000000002,{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'},{'AccorHotels': '82 rue de Henri Farman'},{'AccorHotels': '75001'},{'AccorHotels': 'Paris'},{'AccorHotels': 'France'}
Gamm vert,Gamm vert,1.0000000000000002,{'Gamm vert': '83 Avenue de la Grande-Armée'},{'Gamm vert': '75116'},{'Gamm vert': 'Paris'},{'Gamm vert': 'FRANCE'},83 Avenue de la Grande-Armée,75116,Paris,France
Puy du fou,Puy Du Fou,1.0,,,,,,,,
Cegid,Cegid,1.0000000000000002,{'Cegid': '52 Quai Paul Sédallian'},{'Cegid': '75008'},{'Cegid': 'Lyon'},{'Cegid': 'France'},{'Cegid': '52 Quai Paul Sédallian'},{'Cegid': '69009'},{'Cegid': 'Lyon'},{'Cegid': 'France'}
Les Echos,Les Echos,1.0,16 Rue du Quatre Septembre,75002,Paris,France,{'Les Echos': '16 Rue du Quatre Septembre'},{'Les Echos': '75002'},{'Les Echos': 'Paris'},{'Les Echos': 'France'}
Les Echos,Les Echos,1.0,16 Rue du Quatre Septembre,75002,Paris,France,{'Les Echos': '16 Rue du Quatre Septembre'},{'Les Echos': '75002'},{'Les Echos': 'Paris'},{'Les Echos': 'France'}
sinequanone.fr,sinequanone.fr,1.0,,,,,,,,
CGI Group Inc.,CGI Group Inc.,1.0000000000000002,1350 Boulevard René-Lévesque Ouest,H3G 1T4,Montréal,Canada,1350 Boulevard René-Lévesque Ouest,H3G 1T4,Montréal,Canada
Leroy Merlin,LEROY MERLIN,1.0000000000000002,{'Leroy Merlin': '9 Rue Chanzy - Lezennes'},{'Leroy Merlin': '59260'},{'Leroy Merlin': 'Lille cedex 9'},{'Leroy Merlin': 'France'},RUE CHANZY - LEZENNES,59260,Lille cedex 9,France
Arkose,Arkose,1.0000000000000002,{'Arkose': '33 Rue du Progrès'},{'Arkose': '93100'},{'Arkose': 'Montreuil'},{'Arkose': 'France'},{'Arkose': ''},{'Arkose': ''},{'Arkose': ''},{'Arkose': ''}
AXA,AXA,1.0000000000000002,{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''}
AXA,AXA,1.0000000000000002,{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''}
AXA,AXA,1.0000000000000002,{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''},{'AXA': ''}
Archipelia,Archipelia,1.0,,59650,Villeneuve-d'Ascq,France,,59650,Villeneuve-d'Ascq,France
Crédit Agricole Charente-Maritime Deux-Sèvres,Crédit Agricole Charente-Maritime Deux-Sèvres,1.0000000000000002,{'Crédit Agricole Charente-Maritime Deux-Sèvres': '13 Cours Paul Doumer'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': '17100'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'Saintes'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'FRANCE'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': '13 Cours Paul Doumer'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': '17100'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'Saintes'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'France'}
Crédit Agricole Charente-Maritime Deux-Sèvres,Crédit Agricole Charente-Maritime Deux-Sèvres,1.0000000000000002,{'Crédit Agricole Charente-Maritime Deux-Sèvres': '13 Cours Paul Doumer'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': '17100'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'Saintes'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'FRANCE'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': '13 Cours Paul Doumer'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': '17100'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'Saintes'},{'Crédit Agricole Charente-Maritime Deux-Sèvres': 'France'}
Contentsquare,Contentsquare,1.0,{'Contentsquare': '50 Avenue Montaigne'},{'Contentsquare': '10018'},{'Contentsquare': 'Paris'},{'Contentsquare': 'United Kingdom'},{'Contentsquare': '50 Avenue Montaigne'},{'Contentsquare': '10018'},{'Contentsquare': 'Paris'},{'Contentsquare': 'United Kingdom'}
Contentsquare,Contentsquare,1.0,{'Contentsquare': '50 Avenue Montaigne'},{'Contentsquare': '10018'},{'Contentsquare': 'Paris'},{'Contentsquare': 'United Kingdom'},{'Contentsquare': '50 Avenue Montaigne'},{'Contentsquare': '10018'},{'Contentsquare': 'Paris'},{'Contentsquare': 'United Kingdom'}
Longchamp,LONGCHAMP,1.0,12 Rue Saint-Florentin,75001,Paris,FRANCE,"{'LONGCHAMP': '12 Rue Saint-Florentin, 75001 Paris, France'}",{'LONGCHAMP': '75001'},{'LONGCHAMP': 'Paris'},{'LONGCHAMP': 'France'}
FYTE,FYTE,1.0,{'FYTE': '6 Avenue Gourgaud'},{'FYTE': '75017'},{'FYTE': 'Paris'},{'FYTE': 'France'},6 Avenue Gourgaud,75017,Paris,France
Groupe Casino,Groupe Casino,1.0,{'Groupe Casino': '1 Esplanade de France'},{'Groupe Casino': '50306'},{'Groupe Casino': 'Saint-Étienne'},{'Groupe Casino': 'France'},{'Groupe Casino': ''},{'Groupe Casino': ''},{'Groupe Casino': ''},{'Groupe Casino': ''}
Nespresso Deutschland GmbH,Nespresso Deutschland GmbH,1.0000000000000002,Speditionstrasse 23,40221,Düsseldorf,Germany,Speditionstrasse 23,40221,Düsseldorf,Germany
Crédit Agricole Charente Périgord,Crédit Agricole Charente Périgord,1.0,"{'Crédit Agricole Charente Périgord': ""28-30 RUE D'EPAGNAC, 72424, ANGOULÊME""}",{'Crédit Agricole Charente Périgord': '16024'},{'Crédit Agricole Charente Périgord': 'Angoulême'},{'Crédit Agricole Charente Périgord': 'France'},"{'Crédit Agricole Charente Périgord': ""28-30 RUE D'EPAGNAC, 72424, ANGOULÊME""}",{'Crédit Agricole Charente Périgord': '16024'},{'Crédit Agricole Charente Périgord': 'Angoulême'},{'Crédit Agricole Charente Périgord': 'France'}
Crédit Agricole Charente Périgord,Crédit Agricole Charente Périgord,1.0,"{'Crédit Agricole Charente Périgord': ""28-30 RUE D'EPAGNAC, 72424, ANGOULÊME""}",{'Crédit Agricole Charente Périgord': '16024'},{'Crédit Agricole Charente Périgord': 'Angoulême'},{'Crédit Agricole Charente Périgord': 'France'},"{'Crédit Agricole Charente Périgord': ""28-30 RUE D'EPAGNAC, 72424, ANGOULÊME""}",{'Crédit Agricole Charente Périgord': '16024'},{'Crédit Agricole Charente Périgord': 'Angoulême'},{'Crédit Agricole Charente Périgord': 'France'}
Planet Sushi,PLANET SUSHI,1.0000000000000002,"{'Planet Sushi': '6 Rue Saulnier, 92800 Puteaux, France'}",{'Planet Sushi': ''},{'Planet Sushi': ''},{'Planet Sushi': ''},{'PLANET SUSHI': ''},{'PLANET SUSHI': ''},{'PLANET SUSHI': ''},{'PLANET SUSHI': ''}
Planet Sushi,PLANET SUSHI,1.0000000000000002,"{'Planet Sushi': '6 Rue Saulnier, 92800 Puteaux, France'}",{'Planet Sushi': ''},{'Planet Sushi': ''},{'Planet Sushi': ''},{'PLANET SUSHI': ''},{'PLANET SUSHI': ''},{'PLANET SUSHI': ''},{'PLANET SUSHI': ''}
SPIE,SPIE,1.0000000000000002,"{'SPIE': ""10 Avenue de l'Entreprise""}",{'SPIE': '95800'},{'SPIE': 'Cergy'},{'SPIE': 'FRANCE'},10 Avenue de l'Entreprise,95800,Cergy,FRANCE
SPIE,spie,1.0000000000000002,"{'SPIE': ""10 Avenue de l'Entreprise""}",{'SPIE': '95800'},{'SPIE': 'Cergy'},{'SPIE': 'FRANCE'},"{'spie': ""10 Avenue de l'Entreprise""}",{'spie': '95800'},{'spie': 'Cergy'},{'spie': 'France'}
SPIE,spie,1.0000000000000002,"{'SPIE': ""10 Avenue de l'Entreprise""}",{'SPIE': '95800'},{'SPIE': 'Cergy'},{'SPIE': 'FRANCE'},"{'spie': ""10 Avenue de l'Entreprise""}",{'spie': '95800'},{'spie': 'Cergy'},{'spie': 'France'}
La Poste,La Poste,1.0,{'La Poste': ''},{'La Poste': ''},{'La Poste': ''},{'La Poste': ''},{'La Poste': '44 Boulevard de Vaugirard'},{'La Poste': '75015'},{'La Poste': 'Paris'},{'La Poste': 'France'}
La Poste,La Poste,1.0,{'La Poste': ''},{'La Poste': ''},{'La Poste': ''},{'La Poste': ''},{'La Poste': '44 Boulevard de Vaugirard'},{'La Poste': '75015'},{'La Poste': 'Paris'},{'La Poste': 'France'}
La Poste,La Poste,1.0,{'La Poste': ''},{'La Poste': ''},{'La Poste': ''},{'La Poste': ''},{'La Poste': '44 Boulevard de Vaugirard'},{'La Poste': '75015'},{'La Poste': 'Paris'},{'La Poste': 'France'}
Coach,Coach,1.0000000000000002,{'Coach': '10 HUDSON YARDS'},{'Coach': '10001'},{'Coach': 'New York'},{'Coach': 'United States'},10 HUDSON YARDS,10001,New York,United States
Yorkshire Building Society,Yorkshire Building Society,1.0000000000000002,"{'Yorkshire Building Society': 'YORKSHIRE HOUSE, YORKSHIRE DR'}",{'Yorkshire Building Society': 'BD5 8LJ'},{'Yorkshire Building Society': 'Bradford'},{'Yorkshire Building Society': 'United Kingdom'},"YORKSHIRE HOUSE, YORKSHIRE DR",BD5 8LJ,Bradford,United Kingdom
